Timestamp,CT512,CT612,CT121,CT122,CT411,CT511,CT611,CT711,Q11,Q12,Q41,Q42,Q43,Q51,Q61,Q71,CF11,CT11,CT12,CT22,CT31,CE51,CE61,CT412,CT712,CT001,Unnamed: 27
2023-06-21 09:00:00,27.9,14.5,13.8,15.0,8.8,16.3,7.5,8.6,5.76,0.05,2.32,3.4,3.49,0.0,1.24,2.27,755.9,14.5,8.4,35.2,13.8,0.0,273.0,14.5,14.6,23.56,
2023-06-21 09:01:00,28.0,14.5,13.8,15.0,8.8,16.4,7.4,8.5,5.79,0.05,2.25,3.29,3.4,0.0,1.31,2.35,757.3,14.7,8.3,35.2,13.8,0.0,274.0,14.5,14.6,23.6,
2023-06-21 09:02:00,27.9,14.5,13.8,15.1,8.8,16.4,7.4,8.6,5.85,0.05,2.17,3.41,3.53,0.0,1.19,2.25,760.2,14.6,8.4,35.4,13.8,0.0,277.0,14.5,14.6,23.65,
2023-06-21 09:03:00,28.0,14.6,13.8,15.1,8.8,16.3,7.4,8.6,5.77,0.05,2.32,3.37,3.34,0.0,1.26,2.35,748.8,14.6,8.4,35.4,13.8,0.0,280.0,14.5,14.6,23.66,
2023-06-21 09:04:00,28.0,14.6,13.8,15.1,8.9,16.3,7.5,8.6,5.82,0.05,2.3,3.32,3.41,0.0,1.31,2.34,760.2,14.7,8.4,35.4,13.8,0.0,282.0,14.6,14.6,23.72,
2023-06-21 09:05:00,28.0,14.6,13.8,15.1,8.8,16.4,7.5,8.6,5.76,0.05,2.38,3.39,3.32,0.0,1.21,2.28,750.2,14.6,8.4,35.4,13.8,0.0,280.0,14.6,14.7,23.74,
2023-06-21 09:06:00,28.0,14.6,13.8,15.1,8.8,16.4,7.6,8.6,5.74,0.06,2.33,3.39,3.39,0.0,1.26,2.36,750.2,14.6,8.4,35.3,13.8,0.0,274.0,14.6,14.7,23.79,
2023-06-21 09:07:00,28.0,14.6,13.8,15.1,8.8,16.4,7.6,8.6,5.83,0.05,2.25,3.39,3.44,0.0,1.21,2.29,758.8,14.6,8.4,35.3,13.8,0.0,271.0,14.6,14.7,23.85,
2023-06-21 09:08:00,28.0,14.6,13.8,15.1,8.8,16.4,7.7,8.6,5.83,0.05,2.35,3.35,3.3,0.0,1.26,2.4,750.2,14.7,8.4,35.2,13.8,0.0,272.0,14.6,14.7,23.93,
2023-06-21 09:09:00,28.0,14.6,13.8,15.1,8.8,16.4,7.6,8.5,5.78,0.05,2.39,3.44,3.35,0.0,1.21,2.35,748.7,14.6,8.4,35.2,13.8,0.0,274.0,14.6,14.7,24.01,
2023-06-21 09:10:00,28.0,14.6,13.8,15.1,8.8,16.4,7.6,8.5,5.78,0.05,2.31,3.37,3.32,0.0,1.24,2.32,750.1,14.7,8.3,35.2,13.8,0.0,272.0,14.5,14.7,24.0,
2023-06-21 09:11:00,28.0,14.5,13.8,15.1,8.8,16.4,8.2,8.5,5.81,0.05,2.29,3.33,3.34,0.0,1.17,2.39,750.2,14.7,8.4,35.1,13.7,0.0,246.0,14.5,14.6,24.09,
2023-06-21 09:12:00,28.0,14.6,13.8,15.1,8.7,16.4,8.2,8.5,5.62,0.05,2.3,3.31,3.34,0.0,1.14,2.33,740.1,14.6,8.4,35.1,13.8,0.0,245.0,14.6,14.6,24.19,
2023-06-21 09:13:00,28.0,14.6,13.8,15.1,8.7,16.4,8.2,8.5,5.7,0.05,2.19,3.44,3.39,0.0,1.1,2.42,748.7,14.7,8.4,35.0,13.8,0.0,244.0,14.5,14.6,24.22,
2023-06-21 09:14:00,28.0,14.5,13.8,15.1,8.7,16.4,8.1,8.5,5.75,0.05,2.27,3.29,3.33,0.0,1.1,2.39,758.8,14.7,8.4,35.0,13.8,0.0,245.0,14.5,14.6,24.23,
